Constituency_No,Constituency_Name,Candidate,Party,Votes,Position,Alliance,Constituency_Type,Basmati,Region,Area,District_Name,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Winner in 2019,Recontesting?,Agri,
1,KALKA,SHAKTI RANI SHARMA,Bharatiya Janata Party,60612,1,BJP,GEN,Low,North Haryana,Rural,PANCHKULA,41.5,10883,7.5,2,INC+,No,Less than 50%,
1,KALKA,PARDEEP CHAUDHARY,Indian National Congress,49729,2,INC+,GEN,Low,North Haryana,Rural,PANCHKULA,34.1,,,2,,Yes,Less than 50%,
1,KALKA,GOPAL SUKHOMAJRI,Independent,31688,3,Others,GEN,Low,North Haryana,Rural,PANCHKULA,21.7,,,2,,No,Less than 50%,
1,KALKA,CHARAN SINGH,Bahujan Samaj Party,1374,4,INLD+,GEN,Low,North Haryana,Rural,PANCHKULA,0.9,,,2,,No,Less than 50%,
1,KALKA,OM PARKASH GUJJAR,Aam Aadmi Party,858,5,AAP,GEN,Low,North Haryana,Rural,PANCHKULA,0.6,,,2,,No,Less than 50%,
1,KALKA,NOTA,None of the Above,740,6,Others,GEN,Low,North Haryana,Rural,PANCHKULA,0.5,,,2,,No,Less than 50%,
1,KALKA,AMIT SHARMA,Independent,582,7,Others,GEN,Low,North Haryana,Rural,PANCHKULA,0.4,,,2,,No,Less than 50%,
1,KALKA,VISHAL,Independent,377,8,Others,GEN,Low,North Haryana,Rural,PANCHKULA,0.3,,,2,BJP,No,Less than 50%,
2,PANCHKULA,CHANDER MOHAN,Indian National Congress,67397,1,INC+,GEN,Low,North Haryana,Semi-urban,PANCHKULA,48,1997,1.4,2,,No,Less than 50%,
2,PANCHKULA,GIAN CHAND GUPTA,Bharatiya Janata Party,65400,2,BJP,GEN,Low,North Haryana,Semi-urban,PANCHKULA,46.5,,,2,,Yes,Less than 50%,
2,PANCHKULA,PREM GARG,Aam Aadmi Party,3332,3,AAP,GEN,Low,North Haryana,Semi-urban,PANCHKULA,2.4,,,2,,No,Less than 50%,
2,PANCHKULA,DR KSHITIJ CHOUDHARY,Indian National Lok Dal,1375,4,INLD+,GEN,Low,North Haryana,Semi-urban,PANCHKULA,1,,,2,,No,Less than 50%,
2,PANCHKULA,SUSHIL GARG,Jannayak Janta Party,1153,5,JNJP+,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.8,,,2,,No,Less than 50%,
2,PANCHKULA,NOTA,None of the Above,987,6,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.7,,,2,,No,Less than 50%,
2,PANCHKULA,M P SHARMA,Independent,305,7,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.2,,,2,,No,Less than 50%,
2,PANCHKULA,NATASHA SOOD,Independent,235,8,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.2,,,2,,No,Less than 50%,
2,PANCHKULA,SAROJ BALA,Independent,150,9,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.1,,,2,,No,Less than 50%,
2,PANCHKULA,KISHAN SINGH NEGI,Right to Recall Party,110,10,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0.1,,,2,INC+,No,Less than 50%,
2,PANCHKULA,BHARAT BHUSHAN GURJAR,Bhartiya Veer Dal,58,11,Others,GEN,Low,North Haryana,Semi-urban,PANCHKULA,0,,,2,,No,Less than 50%,
3,NARAINGARH,SHALLEY CHAUDHARY,Indian National Congress,62180,1,INC+,GEN,Low,North Haryana,Rural,AMBALA,44,15094,10.7,2,,No,50 - 65%,
3,NARAINGARH,DR. PAWAN SAINI,Bharatiya Janata Party,47086,2,BJP,GEN,Low,North Haryana,Rural,AMBALA,33.3,,,2,,No,50 - 65%,
